ORDERNUMBER;SALES;STATUS;MONTH_ID;YEAR_ID;PRODUCTLINE;CUSTOMERNAME;CITY;COUNTRY;CONTACTLASTNAME;CONTACTFIRSTNAME;DEALSIZE
10107;2871;Shipped;2;2003;Motorcycles;Land of Toys Inc.;NYC;USA;Yu;Kwai;Small
10121;2765.9;Shipped;5;2003;Motorcycles;Reims Collectables;Reims;France;Henriot;Paul;Small
10134;3884.34;Shipped;7;2003;Motorcycles;Lyon Souveniers;Paris;France;Da Cunha;Daniel;Medium
10145;3746.7;Shipped;8;2003;Motorcycles;Toys4GrownUps.com;Pasadena;USA;Young;Julie;Medium
10159;5205.27;Shipped;10;2003;Motorcycles;Corporate Gift Ideas Co.;San Francisco;USA;Brown;Julie;Medium
10168;3479.76;Shipped;10;2003;Motorcycles;Technics Stores Inc.;Burlingame;USA;Hirano;Juri;Medium
10180;2497.77;Shipped;11;2003;Motorcycles;Daedalus Designs Imports;Lille;France;Rance;Martine;Small
10188;5512.32;Shipped;11;2003;Motorcycles;Herkku Gifts;Bergen;Norway;Oeztan;Veysel;Medium
10201;2168.54;Shipped;12;2003;Motorcycles;Mini Wheels Co.;San Francisco;USA;Murphy;Julie;Small
10211;4708.44;Shipped;1;2004;Motorcycles;Auto Canal Petit;Paris;France;Perrier;Dominique;Medium
10223;3965.66;Shipped;2;2004;Motorcycles;Australian Collectors, Co.;Melbourne;Australia;Ferguson;Peter;Medium
10237;2333.12;Shipped;4;2004;Motorcycles;Vitachrome Inc.;NYC;USA;Frick;Michael;Small
10251;3188.64;Shipped;5;2004;Motorcycles;Tekni Collectables Inc.;Newark;USA;Brown;William;Medium
10263;3676.76;Shipped;6;2004;Motorcycles;Gift Depot Inc.;Bridgewater;USA;King;Julie;Medium
10275;4177.35;Shipped;7;2004;Motorcycles;La Rochelle Gifts;Nantes;France;Labrune;Janine;Medium
10285;4099.68;Shipped;8;2004;Motorcycles;Marta's Replicas Co.;Cambridge;USA;Hernandez;Marta;Medium
10299;2597.39;Shipped;9;2004;Motorcycles;Toys of Finland, Co.;Helsinki;Finland;Karttunen;Matti;Small
10309;4394.38;Shipped;10;2004;Motorcycles;Baane Mini Imports;Stavern;Norway;Bergulfsen;Jonas;Medium
